"municipio","poblacion","poblacion_c","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0311",57382,9763,1,10,10.3,0.349,9,16.4,4.1,22.3,4.9,593,52
"M0312",69013,21394,1,10,17.7,0.219,9,14.6,6.6,27.2,4.4,597,56
"M0313",57544,9925,1,10,14.9,0.373,9,23,4,19.4,4.7,513,56
"M0314",68750,21131,1,10,12.3,0.26,9,13.9,6.4,24.4,4.8,623,50
"M0315",27005,-20614,0,9,7.1,0.414,9,20.7,9.3,24.7,5.2,448,26
"M0316",53919,6300,1,10,9,0.292,9,24.4,5.9,28.1,4.7,575,39
"M0317",63691,16072,1,10,12.1,0.394,9,18,4.2,24.1,5,607,62
"M0318",41799,-5820,0,9,13.4,0.387,9,19.9,7.5,22.4,3.9,450,36
"M0319",43230,-4389,0,9,8.2,0.346,10,19.6,7.6,28.3,5.1,457,56
"M0320",70511,22892,1,10,13.8,0.256,9,11.6,4.8,23.6,5.1,555,38
"M0321",70319,22700,1,10,12.4,0.261,9,20.5,7.8,22.7,4.5,596,48
"M0322",42822,-4797,0,9,13,0.357,9,22,5.5,24.5,4.9,489,42
"M0323",27997,-19622,0,9,10.2,0.462,9,18.2,7.1,24.2,3.7,523,38
"M0324",23069,-24550,0,9,7.8,0.36,9,21.3,7.8,24.9,3.4,414,38
"M0325",22492,-25127,0,9,10,0.343,9,24.2,8.4,24.7,4,493,32
"M0326",26602,-21017,0,9,9.8,0.406,9,18.1,7.7,23.1,3.7,442,29
"M0327",30637,-16982,0,9,8.2,0.385,10,23.3,5.6,24.7,4.2,403,32
"M0328",63289,15670,1,10,13.4,0.259,10,17.8,6,33.4,4.9,577,53
"M0329",26786,-20833,0,9,10.1,0.298,9,23.8,5.4,19.5,3.9,484,33
"M0330",53949,6330,1,10,11.3,0.401,10,13.9,6.4,28.9,4.9,654,47
"M0331",48645,1026,1,10,9.3,0.335,9,16.6,6.5,25.3,4.9,417,44
"M0332",42183,-5436,0,9,9.5,0.4,9,17.7,7.8,27.4,4.7,502,44
"M0333",37523,-10096,0,9,9.3,0.469,9,18.1,5.5,21.9,4.2,450,31
"M0334",64471,16852,1,10,14.1,0.357,10,18.5,4.9,29.1,4.5,634,38
"M0335",71047,23428,1,10,10.6,0.279,9,16.5,7.4,33.5,5.4,678,49
"M0336",37201,-10418,0,9,9.3,0.299,9,17.6,6.3,30,3.6,466,44
"M0337",37925,-9694,0,9,12.5,0.437,10,20.8,6.9,23.8,4.7,453,43
"M0338",57700,10081,1,10,12.3,0.316,9,17,4.9,27,4.5,641,46
"M0339",41357,-6262,0,9,10,0.323,9,19.9,7.6,24.5,4,469,41
"M0340",39385,-8234,0,9,8.7,0.356,9,18.7,8.2,27.2,4.6,439,32
"M0341",44175,-3444,0,9,12.1,0.375,9,24.2,6.2,28.3,4.6,539,35
"M0342",35757,-11862,0,9,10.8,0.403,9,27.4,7.5,21.9,5.3,487,39
"M0343",66807,19188,1,10,14.6,0.297,9,17.6,5.9,25.1,4.5,556,48
"M0344",25227,-22392,0,9,6,0.423,9,21.5,7.3,23.2,3.5,398,33
"M0345",24258,-23361,0,9,10.1,0.309,10,14.7,7.5,28.6,4.3,424,35
"M0346",30968,-16651,0,9,11.2,0.402,9,22.3,4,26.2,4.7,432,35
"M0347",50206,2587,1,10,12.3,0.377,9,13.8,5.3,32.8,4.5,583,42
"M0348",43356,-4263,0,9,12.3,0.319,9,22.4,7.5,21.7,4.6,383,44
"M0349",74678,27059,1,10,14.8,0.235,9,15.6,5.7,28.6,4.1,493,47
"M0350",20195,-27424,0,9,10.5,0.364,9,23.9,8.9,22.1,5.1,388,31
"M0351",71360,23741,1,10,16,0.24,9,18.8,7.1,28.2,4.9,714,45
"M0352",44181,-3438,0,9,11.8,0.291,9,20.6,6.2,22.4,4.4,461,35
"M0353",55341,7722,1,10,12.7,0.216,9,19.9,7,27.4,3.8,564,56
"M0354",26403,-21216,0,9,11.8,0.301,9,18.7,7.4,19.7,3.4,463,40
"M0355",57101,9482,1,10,10.6,0.286,9,22.4,7.1,27.1,4.2,538,50
"M0356",40896,-6723,0,9,13.4,0.422,9,20,5.1,19.6,3.3,402,45
"M0357",51575,3956,1,10,10.8,0.357,9,14.3,6.5,24.7,5.1,557,47
"M0358",40927,-6692,0,9,9.7,0.384,9,19.4,8.1,26.4,4.3,480,45
"M0359",61989,14370,1,10,9.7,0.212,9,22.4,6.6,30.7,5,650,52
"M0360",56214,8595,1,10,13.8,0.365,9,19.3,5.2,28.8,4.5,577,48
"M0361",33928,-13691,0,9,12,0.332,9,19,8.3,23.3,2.9,418,37
"M0362",56227,8608,1,10,10.2,0.366,9,16.8,5.7,21.3,4.6,610,45
"M0363",49027,1408,1,10,12.9,0.343,9,17.3,5.3,23.8,4.7,639,35
"M0364",28703,-18916,0,9,13.5,0.307,9,25.4,9.1,22.3,4.2,383,40
"M0365",65193,17574,1,10,12.3,0.306,9,17,5.4,32.1,4.8,581,55
"M0366",57747,10128,1,10,9.7,0.399,9,14.9,5.7,31.3,4.3,599,59
"M0367",38964,-8655,0,9,16.1,0.279,10,17.8,7.6,26.5,4.1,462,44
"M0368",31274,-16345,0,9,14.2,0.364,10,23.3,7.6,22.1,5.2,491,34
"M0369",45693,-1926,0,9,10.6,0.348,9,19.8,7.3,20.4,4.6,378,47
"M0370",39338,-8281,0,9,11.7,0.356,9,18.9,7.1,25.9,4.4,553,31
"M0371",59101,11482,1,10,11.8,0.293,9,16.9,5.8,29.2,4,514,27
"M0372",71020,23401,1,10,12,0.277,9,19.8,5.2,28.8,4.9,662,41
"M0373",60952,13333,1,10,8.2,0.401,9,17.8,3.8,22.8,4.5,654,50
"M0374",28918,-18701,0,9,9.3,0.327,9,20.1,7.4,26.7,3.9,480,42
"M0375",30543,-17076,0,9,11.2,0.4,9,21.1,9.6,22.5,4.2,346,39
"M0376",40726,-6893,0,9,11.4,0.279,9,20.7,7.9,22.7,3.8,466,28
"M0377",43036,-4583,0,9,11.4,0.411,9,20.1,6.9,25.2,4.5,401,27
"M0378",47478,-141,0,9,11.9,0.363,9,23.1,6,24.4,4.4,454,45
"M0379",66395,18776,1,10,12.1,0.2,9,16.5,7.1,31.4,4.8,661,59
"M0380",44216,-3403,0,9,9.7,0.356,9,24,8.5,27.7,4.9,413,41
"M0381",52247,4628,1,10,14.4,0.311,9,20,6.9,26.1,4.4,602,58
"M0382",43922,-3697,0,9,12.9,0.373,9,19.1,9.2,24.7,4.8,375,49
"M0383",67035,19416,1,10,16.8,0.243,9,17.2,6.4,28.9,4.8,561,56
"M0384",20644,-26975,0,9,11.1,0.397,9,29.1,7.6,21.3,5,489,33
"M0385",59721,12102,1,10,13,0.397,9,19.8,5.5,29.3,4.7,620,51
"M0386",33762,-13857,0,9,6.8,0.392,10,22.6,8.1,15.2,4.7,473,41
"M0387",22984,-24635,0,9,11.9,0.343,9,15.6,6.8,27.6,4.4,489,35
"M0388",45775,-1844,0,9,10.3,0.353,9,17,6.3,22.1,3.8,393,49
"M0389",49159,1540,1,10,12.8,0.263,9,15.9,7.1,28.2,4.4,609,42
"M0390",30171,-17448,0,9,12.8,0.389,9,24.9,5.2,23.2,5.5,440,39
"M0391",54828,7209,1,10,16.4,0.362,9,15.9,7.6,30.6,5.1,571,46
"M0392",55475,7856,1,10,13.6,0.303,9,14.6,6.1,33.2,3.7,581,44
"M0393",25210,-22409,0,9,9.3,0.414,10,20,7.6,22.2,4.5,526,39
"M0394",71477,23858,1,10,17.1,0.389,10,14.8,4.9,23.7,5,596,55
"M0395",46940,-679,0,9,13.1,0.371,9,20.1,7.8,23.7,4.2,427,41
"M0396",74057,26438,1,10,14.9,0.337,9,13.3,6.9,29.4,4.8,602,51
"M0397",27963,-19656,0,9,11.2,0.444,9,22.1,8.9,20.5,4.8,492,33
"M0398",72019,24400,1,10,16.6,0.298,10,19.7,5.9,32.2,4.3,622,46
"M0399",42077,-5542,0,9,10.5,0.386,9,20,10.2,24.2,3.9,437,32
"M0400",37596,-10023,0,9,15.2,0.267,9,25.6,6,24.9,5.1,554,39
"M0401",37433,-10186,0,9,14,0.29,9,23,5.9,24.3,3.8,463,34
"M0402",74842,27223,1,10,13.4,0.313,10,17.7,5.7,25.3,4.5,620,55
"M0403",49248,1629,1,10,9.1,0.26,9,18,7.9,33.8,4.1,588,46
"M0404",27035,-20584,0,9,12.4,0.378,9,21.8,9.2,19.5,4.2,455,31
"M0405",53068,5449,1,10,8.2,0.294,9,18.7,4.6,30.8,4.6,605,50
"M0406",64621,17002,1,10,10.3,0.318,9,19.7,3.7,25,4.5,615,48
"M0407",65262,17643,1,10,13.1,0.331,10,11.8,6.1,29,4.6,614,65
"M0408",52811,5192,1,10,14.3,0.326,9,13.9,8.9,26.4,4.7,614,37
"M0409",65568,17949,1,10,10.8,0.349,9,17.7,8.6,25.5,4.4,680,50
"M0410",25209,-22410,0,9,11,0.45,9,23.7,8,23.9,4,438,30
"M0411",25298,-22321,0,9,5.1,0.364,9,17.2,6.4,24.1,3.9,478,33
"M0412",61886,14267,1,10,12.3,0.263,9,20.8,4,32.4,5.3,626,54
"M0413",72181,24562,1,10,15.5,0.309,9,16.5,3.9,25.1,4.6,655,51
"M0414",25651,-21968,0,9,13.3,0.355,10,18.9,10,22,3.9,558,29
"M0415",46322,-1297,0,9,11.6,0.305,9,21.4,6.7,25.3,4.3,390,34
"M0416",64003,16384,1,10,15.9,0.298,9,12.6,4.1,33.5,4.2,670,57
"M0417",74980,27361,1,10,11.9,0.293,10,14.7,11.3,31.1,4.8,660,45
"M0418",39989,-7630,0,9,10.2,0.286,9,24.5,8.1,25,4.6,530,43
"M0419",52671,5052,1,10,14.7,0.384,9,19.9,8.3,28,5.1,597,60
"M0420",47502,-117,0,9,14.3,0.366,9,19.7,7.9,21.7,4.4,433,35
"M0421",31760,-15859,0,9,10.9,0.322,10,19.6,8.7,27.2,4.1,527,42
"M0422",36350,-11269,0,9,11.2,0.388,10,22.3,6.1,22.4,4.9,447,27
"M0423",71259,23640,1,10,13.8,0.301,9,17,2.9,24.1,5.4,612,44
"M0424",72739,25120,1,10,11.4,0.274,9,20.9,4.1,33.5,5,574,53
"M0425",35085,-12534,0,9,10.1,0.386,9,20.8,7.7,25,4.3,477,47
"M0426",52670,5051,1,10,9.5,0.287,9,21.1,6.9,27.5,4.9,624,37
"M0427",46225,-1394,0,9,13.6,0.419,9,21.9,7,20.7,4.1,510,38
"M0428",69933,22314,1,10,14.1,0.33,9,19.4,4.7,32.6,5.6,622,48
"M0429",57848,10229,1,10,13.8,0.303,9,18.7,5.4,31.8,4.3,665,48
"M0430",49891,2272,1,10,10,0.336,9,19.1,6.7,27.2,5,559,37
"M0431",26012,-21607,0,9,12.5,0.362,9,22.5,7.5,20.8,4.7,478,41
"M0432",29388,-18231,0,9,15.3,0.349,9,18.9,8.3,20.6,5,439,33
"M0433",66366,18747,1,10,11,0.273,9,16.2,4.8,26.7,4.8,626,64
"M0434",31470,-16149,0,9,9.9,0.379,9,23.5,8.8,22.2,4.5,478,22
"M0435",64568,16949,1,10,13.1,0.273,9,15.7,4.4,26.1,4.5,568,48
"M0436",64624,17005,1,10,14,0.3,9,13,4.9,27.4,4.9,508,60
"M0437",26385,-21234,0,9,11.4,0.322,9,23.6,7,27.6,4.3,464,40
"M0438",21575,-26044,0,9,10.3,0.482,9,24,6.1,23,4.9,512,42
"M0439",31937,-15682,0,9,9.6,0.387,9,21.5,6.8,24.3,4.2,500,33
"M0440",34372,-13247,0,9,11.5,0.367,9,23.2,8.1,24.7,4.1,403,46
"M0441",27136,-20483,0,9,9.9,0.347,9,19.5,8,28.9,3.7,449,33
"M0442",63685,16066,1,10,11,0.278,9,15.1,7.5,24,4.6,519,54
"M0443",37382,-10237,0,9,10.1,0.345,9,20.8,8.1,27.4,5.4,515,23
"M0444",51057,3438,1,10,12.4,0.291,9,17.1,6.5,26.4,4.5,614,46
"M0445",38763,-8856,0,9,14,0.356,9,22.2,7.8,26.6,3.8,404,39
"M0446",29823,-17796,0,9,10.5,0.356,9,18.6,5.7,26.1,4.6,421,33
"M0447",45420,-2199,0,9,11,0.302,9,22.6,7.9,24.6,3.7,508,40
"M0448",44816,-2803,0,9,12.4,0.46,9,21.2,6.9,27.2,3.5,474,36
"M0449",64790,17171,1,10,12.5,0.336,9,21.4,5,29.5,4.7,608,51
"M0450",45032,-2587,0,9,10.2,0.362,9,24.9,6.7,24.5,4.5,450,42
"M0451",34705,-12914,0,9,5.9,0.437,10,20.6,5.5,21.1,4.3,470,26
"M0452",34720,-12899,0,9,8.4,0.438,9,20.5,9.7,24.5,4.6,390,34
"M0453",40537,-7082,0,9,15.6,0.378,9,19.5,6.1,20.4,4.7,418,29
"M0454",57414,9795,1,10,10.9,0.28,9,15.5,5.4,25.9,4.6,594,42
"M0455",37252,-10367,0,9,12.9,0.335,9,16.7,6.3,21.2,4.1,427,33
"M0456",39748,-7871,0,9,9.6,0.358,9,23.4,7.2,24.6,4.1,457,41
"M0457",44169,-3450,0,9,12.8,0.344,9,21.9,6.3,20.4,4.6,454,45
"M0458",69490,21871,1,10,16.5,0.278,9,19.3,4.2,28.3,4.9,563,61
"M0459",68334,20715,1,10,14.3,0.252,9,17.1,5.8,24.5,5,602,57
"M0460",38969,-8650,0,9,11.7,0.415,9,22.5,9.7,24.1,3.6,439,25
"M0461",64129,16510,1,10,16.1,0.389,9,15.7,8.4,27.2,4.7,626,40
"M0462",25911,-21708,0,9,10.9,0.413,10,19.6,8.1,22.7,4.6,488,46
"M0463",43306,-4313,0,9,8.4,0.445,9,19.7,5.7,25.9,5.3,413,38
"M0464",73904,26285,1,10,14.8,0.302,9,16.9,7.7,26.2,4.2,725,45
"M0465",25837,-21782,0,9,8.9,0.366,9,21.4,9,20.2,3.6,493,25
"M0466",22825,-24794,0,9,10.7,0.375,9,20,6.5,23.7,3.9,410,39
"M0467",32536,-15083,0,9,9.9,0.435,10,21.3,8.8,21.9,3.2,520,37
"M0468",61614,13995,1,10,12.8,0.273,9,19.2,4.7,22.9,4.9,600,50
"M0469",71015,23396,1,10,13,0.337,9,20.1,6.8,25.6,3.8,561,55
"M0470",20777,-26842,0,9,7.6,0.49,9,27.7,6.3,20.9,4.8,477,26
"M0471",57082,9463,1,10,11.7,0.312,9,17.2,7.2,27.5,5.2,540,38
"M0472",59362,11743,1,10,13.6,0.272,9,17.3,6.5,28.5,4.6,570,51
"M0473",34928,-12691,0,9,12.1,0.314,9,20.2,9.3,23.1,4.7,502,31
"M0474",72788,25169,1,10,13,0.282,9,16.9,5.6,26.8,3.9,530,57
"M0475",39943,-7676,0,9,13,0.346,9,20.9,6.9,24.7,4.4,496,52
"M0476",50996,3377,1,10,14,0.315,9,17,6.7,30.7,5.6,590,38
"M0477",25561,-22058,0,9,13.6,0.39,9,21.7,4.5,21.2,4.5,493,43
"M0478",28860,-18759,0,9,12,0.404,9,20.1,7.5,20.1,3.8,464,33
"M0479",29277,-18342,0,9,11,0.447,9,25.9,7.6,24,4.6,497,37
"M0480",38511,-9108,0,9,12.5,0.257,9,22.5,7.8,20.3,4.4,447,37
"M0481",50844,3225,1,10,12.4,0.381,9,18.4,5.2,24.4,5,605,63
"M0482",38658,-8961,0,9,10.4,0.377,9,19.3,8.7,22.1,4.9,560,40
"M0483",39071,-8548,0,9,14.2,0.334,9,24.8,6.7,28.2,4.8,423,28
"M0484",22463,-25156,0,9,10,0.345,9,18.3,6.7,24.4,4.9,403,38
"M0485",60766,13147,1,10,11.5,0.33,9,16.9,4.7,29.2,4.4,569,57
"M0486",69373,21754,1,10,10.9,0.261,9,21,5.5,30,3.7,652,55
"M0487",62534,14915,1,10,17.7,0.31,9,11.5,5.2,28.3,4.6,643,59
"M0488",42777,-4842,0,9,9.8,0.276,10,17.9,8.2,27.4,3.7,560,41
"M0489",72356,24737,1,10,10,0.237,9,15.6,4.1,25.5,4.7,599,47
"M0490",20939,-26680,0,9,11.6,0.354,9,20.9,8,27.1,4.7,441,45
"M0491",69502,21883,1,10,14.9,0.343,9,17.8,4.8,27.6,4.8,552,50
"M0492",49747,2128,1,10,12.4,0.307,9,15.6,6,21.8,5,575,49
"M0493",52273,4654,1,10,15.9,0.252,9,23.2,7.3,30.9,4.8,609,41
"M0494",29959,-17660,0,9,10.8,0.361,10,16.1,7.7,23.4,4.5,391,46
"M0495",61183,13564,1,10,14,0.234,9,19.8,6.1,30.4,4.5,605,59
"M0496",47334,-285,0,9,12.9,0.329,9,18.9,7.6,25.8,5.2,422,44
"M0497",52208,4589,1,10,9.3,0.321,9,16.9,6.5,28.5,4,592,37
"M0498",56756,9137,1,10,14,0.312,9,15.6,4.3,31.9,4,616,51
"M0499",54633,7014,1,10,9.3,0.306,9,14.7,6.6,25,3.5,540,37
"M0500",21390,-26229,0,9,11.3,0.451,9,22.8,6.4,22.2,3.3,520,45
"M0501",33659,-13960,0,9,12.6,0.422,9,23.8,7.2,21,4.1,433,25
"M0502",32692,-14927,0,9,14.8,0.291,9,22.6,7.1,26.7,4.8,485,33
"M0503",48845,1226,1,10,12.9,0.305,9,19.6,6.3,25.5,4.4,654,47
"M0504",28809,-18810,0,9,9.6,0.332,9,20.3,4.4,17.6,3.1,458,31
"M0505",71629,24010,1,10,13.4,0.329,9,22.4,4.9,25.7,5.1,589,58
"M0506",70557,22938,1,10,16.4,0.313,9,19.7,5.6,25.5,5.5,572,69
"M0507",57844,10225,1,10,12.1,0.277,9,21.8,5.6,27.4,4.3,637,44
"M0508",72827,25208,1,10,15.3,0.341,9,11,4.9,27.7,3.2,620,54
"M0509",51619,4000,1,10,13,0.401,9,19.5,5.3,24.2,4.4,541,41
"M0510",60667,13048,1,10,12,0.311,9,19.2,6.2,20,4.5,619,41
"M0511",37192,-10427,0,9,9.4,0.327,9,18.9,5.5,28.7,4,383,33
"M0512",20855,-26764,0,9,11.5,0.387,9,28.3,7.3,23.7,3.8,424,37
"M0513",52224,4605,1,10,10.7,0.275,9,20.7,5.7,20.7,4.2,562,43
"M0514",71019,23400,1,10,15.6,0.258,9,13.2,5.9,23.3,4.3,640,44
"M0515",57903,10284,1,10,13.3,0.392,9,13.2,7,30.2,4.8,641,60
"M0516",28241,-19378,0,9,10.9,0.263,9,17.5,6.4,20.6,4.2,458,37
"M0517",74169,26550,1,10,14.1,0.356,9,17.4,4.5,28.3,4.4,615,53
"M0518",67873,20254,1,10,11.3,0.291,10,16.1,4.7,25.4,4.6,746,57
"M0519",43464,-4155,0,9,11,0.322,9,17.3,6.8,23.2,4,549,38
"M0520",49379,1760,1,10,12.1,0.318,9,21.3,5,26.9,5.4,494,52
"M0521",71344,23725,1,10,13.6,0.318,10,16.1,4.5,23.2,4.5,593,51
"M0522",47809,190,1,10,10.6,0.407,9,17.3,5.3,25.6,4.7,552,50
"M0523",31588,-16031,0,9,11.4,0.38,9,23,8.2,24.3,4,452,49
"M0524",54389,6770,1,10,11.9,0.357,9,12.8,4.7,27,4.6,543,41
"M0525",67054,19435,1,10,13.4,0.284,9,18.8,4.7,22.1,4.4,657,40
"M0526",44075,-3544,0,9,11,0.306,9,21.3,8.5,21.5,4.4,406,28
"M0527",32699,-14920,0,9,9.7,0.368,9,20.5,6.9,21,3.3,480,26
"M0528",36633,-10986,0,9,10.9,0.345,9,22.1,7.1,24.1,3.8,472,42
"M0529",55110,7491,1,10,14,0.371,9,15,5.9,29.2,4.7,634,47
"M0530",35157,-12462,0,9,8.2,0.347,10,19.5,6.6,21.1,4.6,418,34
"M0531",43716,-3903,0,9,14,0.291,9,23.4,5.4,23.9,4.4,528,35
"M0532",22174,-25445,0,9,9.2,0.427,9,20.2,7.4,21.8,4.1,483,25
"M0533",45488,-2131,0,9,11,0.384,9,20.9,7.8,24.9,3.7,449,40
"M0534",23449,-24170,0,9,7.6,0.405,10,24.7,8.5,23.7,3.1,430,34
"M0535",53009,5390,1,10,11.7,0.361,9,16.3,6.8,25.6,4.7,544,65
"M0536",68201,20582,1,10,13.7,0.311,9,19,5.2,29.3,5.4,578,54
"M0537",60156,12537,1,10,10.6,0.244,9,14,6.4,33.6,4.9,643,49
"M0538",62427,14808,1,10,17.4,0.319,9,15.1,3.7,24.2,4.8,665,37
"M0539",61841,14222,1,10,17.1,0.331,9,14.1,7.2,25,4.5,649,57
"M0540",27458,-20161,0,9,10.1,0.364,9,27.1,6.8,21.7,3.6,479,32
"M0541",59137,11518,1,10,14.5,0.272,9,18,4.3,25.3,4.8,637,55
"M0542",30844,-16775,0,9,9.5,0.417,9,24.5,8.6,23.6,3.5,490,26
"M0543",45845,-1774,0,9,15.8,0.318,9,18.9,9.4,24.8,4.8,475,36
"M0544",46534,-1085,0,9,11.9,0.351,9,20.6,8.2,24.8,4.7,506,47
"M0545",31259,-16360,0,9,12.1,0.351,9,21.7,7.4,22.2,4.2,511,37
"M0546",38294,-9325,0,9,12,0.381,9,21.9,6.6,19.9,4.4,497,38
"M0547",20082,-27537,0,9,10.7,0.453,9,22.8,8.6,26,4,578,33
"M0548",35474,-12145,0,9,14.9,0.344,9,19.9,7.3,26.4,4.5,431,23
"M0549",36464,-11155,0,9,10.8,0.381,9,23.3,6.6,25.3,3.8,448,49
"M0550",48407,788,1,10,10.9,0.311,9,16.5,6.2,24.2,4.1,624,35
"M0551",39750,-7869,0,9,11.6,0.311,9,22.8,7.5,25.6,4.4,508,39
"M0552",61149,13530,1,10,13.2,0.348,9,14.2,5.3,21.1,4.5,567,47
"M0553",30189,-17430,0,9,10.5,0.458,9,19.8,7.3,25.1,4.9,501,37
"M0554",28231,-19388,0,9,15.3,0.368,9,22.2,7.7,26.2,3.7,510,29
"M0555",68037,20418,1,10,13.3,0.235,9,14.6,3.7,22.5,4.5,581,54
"M0556",70534,22915,1,10,13,0.251,10,14,7.1,29.9,4.4,606,56
"M0557",43387,-4232,0,9,10.9,0.295,10,18.2,6.5,18.7,4.2,467,47
"M0558",30158,-17461,0,9,11.3,0.388,9,17.1,7.6,27.1,4.2,481,38
"M0559",56707,9088,1,10,13.9,0.315,9,16,4.9,25.2,4.4,595,58
"M0560",50228,2609,1,10,12.2,0.379,9,14,5.7,25.7,4.3,634,55
"M0561",69900,22281,1,10,13.5,0.262,9,17.4,3.3,30.6,5.6,654,53
"M0562",41402,-6217,0,9,13.4,0.3,10,18.3,8.1,28.1,4.2,519,37
"M0563",52164,4545,1,10,14.5,0.351,9,17.7,7.3,20.6,5.4,623,45
"M0564",47000,-619,0,9,10.3,0.393,10,19.3,6.1,25.9,5.1,461,50
"M0565",52798,5179,1,10,10.3,0.261,9,21.5,5.5,31.7,5.1,557,48
"M0566",51843,4224,1,10,12.6,0.309,9,17.8,5.2,30.5,4.6,614,39
"M0567",72957,25338,1,10,12.5,0.357,9,11.5,4.8,28.2,4.1,614,54
"M0568",24059,-23560,0,9,9.9,0.33,9,23.4,9.2,28.8,4.9,508,35
"M0569",65710,18091,1,10,14.8,0.318,9,19.9,6.2,28,4.2,565,48
"M0570",28291,-19328,0,9,11.4,0.402,10,16.7,8.6,20.6,5.1,423,33
"M0571",73886,26267,1,10,15.3,0.228,9,16.2,5.8,32.6,4.2,583,38
"M0572",54819,7200,1,10,10.5,0.28,9,16.1,5,26.4,4,607,45
"M0573",51001,3382,1,10,12,0.283,9,14.1,3.7,25.6,4.1,582,53
"M0574",44309,-3310,0,9,7.5,0.359,9,22.3,6.8,23.2,4.7,522,44
"M0575",50410,2791,1,10,14.9,0.327,10,19.2,7.9,27.5,5.4,609,56
"M0576",23751,-23868,0,9,10.5,0.401,9,24,7.7,18.1,4.2,437,34
"M0577",71094,23475,1,10,15.1,0.316,9,17.4,6.8,29.9,4.5,569,58
"M0578",36947,-10672,0,9,14.7,0.35,9,24.8,7.8,24.2,4.6,493,38
"M0579",37828,-9791,0,9,12.4,0.396,9,21.4,8.5,30.5,4.5,417,38
"M0580",46403,-1216,0,9,10.9,0.283,9,18.4,4.4,19.8,3.9,524,39
"M0581",21233,-26386,0,9,6.6,0.394,9,22,8.2,22.5,4.8,427,36
"M0582",70387,22768,1,10,12.5,0.253,9,13.7,6.1,31.7,4.3,633,47
"M0583",67416,19797,1,10,12.3,0.349,9,17.5,6.8,25,5.2,658,52
"M0584",51217,3598,1,10,16.8,0.247,10,15.8,8.1,31.5,4.2,647,44
"M0585",28625,-18994,0,9,11.4,0.429,9,24.6,7.8,18.6,3.6,448,47
"M0586",61890,14271,1,10,14.4,0.309,9,14.3,5.5,26.4,4.7,606,60
"M0587",36455,-11164,0,9,9.1,0.376,9,19.9,8,24.2,4.5,509,37
"M0588",28711,-18908,0,9,10.9,0.41,9,25,7.6,23.8,4.2,429,28
"M0589",25983,-21636,0,9,8.8,0.353,9,22.7,5.9,21.6,4.1,477,40
"M0590",35117,-12502,0,9,8.9,0.376,9,24.7,7.1,23,4.1,499,28
"M0591",29861,-17758,0,9,13.9,0.416,9,24.9,8.3,24.9,3.2,459,33
"M0592",49870,2251,1,10,11.5,0.333,9,14,5.5,26.2,4.8,623,50
"M0593",54532,6913,1,10,14.1,0.229,9,17,6.9,30.4,4.9,574,49
"M0594",43581,-4038,0,9,9.8,0.366,9,19.4,9,24.4,5.3,469,36
"M0595",70202,22583,1,10,15.1,0.255,10,18.5,6.1,24.6,4.3,537,46
"M0596",48725,1106,1,10,11.9,0.321,9,15.5,6.2,28,4.6,596,50
"M0597",74677,27058,1,10,11.5,0.223,9,14.6,2.7,30.6,5.2,638,64
"M0598",46610,-1009,0,9,9.4,0.388,9,17.4,7.8,25.7,4.1,480,46
"M0599",44847,-2772,0,9,15.7,0.36,9,17.3,6.3,23.7,4.7,444,40
"M0600",44190,-3429,0,9,9.7,0.364,9,23.3,10.9,29.7,3.9,478,34
"M0601",60194,12575,1,10,11.2,0.335,9,15.9,6.3,27.1,4.8,646,42
"M0602",27940,-19679,0,9,12.1,0.381,9,21.8,6.4,31.6,4,525,50
"M0603",53815,6196,1,10,14.2,0.284,9,17.2,5.2,31,5.2,566,50
"M0604",44908,-2711,0,9,12.7,0.342,9,17.6,6.7,25.8,4.4,472,46
"M0605",37198,-10421,0,9,13.5,0.318,9,24.6,8.5,24.3,4.9,467,37
"M0606",73074,25455,1,10,13.5,0.374,9,19.1,4.8,29,4.1,716,57
"M0607",30326,-17293,0,9,15.9,0.395,9,19.4,5.9,20.9,4.7,339,39
"M0608",32517,-15102,0,9,12.5,0.312,9,20.7,6.6,21,4.4,508,35
"M0609",25384,-22235,0,9,12.1,0.354,9,20.1,7.1,23.7,4,463,30
"M0610",45912,-1707,0,9,13,0.308,9,18.5,9.9,25.9,5,471,47
"M0611",68321,20702,1,10,10.1,0.311,10,19.3,5.2,26.8,6.1,565,45
"M0612",37834,-9785,0,9,9.3,0.312,9,20.1,7.4,24.7,3.5,431,40
"M0613",53815,6196,1,10,13.1,0.301,10,17.5,6.6,32.7,3.6,628,54
"M0614",64039,16420,1,10,13.6,0.262,9,19.4,5.2,25.6,5.3,568,49
"M0615",21048,-26571,0,9,7.9,0.417,9,20.7,8.4,19.5,3.9,440,34
"M0616",32957,-14662,0,9,10.4,0.43,9,19.5,8,22.9,4.3,434,31
"M0617",66827,19208,1,10,14.7,0.311,9,17.7,5.5,27,5.5,614,46
"M0618",55044,7425,1,10,11.5,0.251,9,24.7,6.8,26.9,4.5,589,48
"M0619",39359,-8260,0,9,11.5,0.361,9,20.1,6.3,21,3.8,411,45
"M0620",72127,24508,1,10,13.3,0.299,9,15.7,6.2,27.4,5.5,523,49
"M0621",57782,10163,1,10,12.5,0.341,10,15.3,6,20.7,4.9,576,50
