"municipio","region","nordeste","poblacion","poblacion_c","umbral","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0250","Nordeste",1,63677,16058,47619,1,10,12,0.16,10,17.9,5.6,30.5,4.7,485,52
"M0251","Centro-Oeste",0,48133,514,47619,1,10,13.3,0.307,9,17.9,7.2,25.1,5.2,577,48
"M0252","Sudeste",0,27831,-19788,47619,0,9,13.8,0.362,9,19.9,9,24.7,4.2,435,34
"M0253","Sul",0,27784,-19835,47619,0,9,10.7,0.336,10,21.9,5.2,21.6,4.7,508,47
"M0254","Sul",0,47973,354,47619,1,10,14.2,0.33,10,18.1,7.5,25.2,4.4,670,43
"M0255","Nordeste",1,27560,-20059,47619,0,9,8.5,0.389,9,22.1,6.5,24.5,4.6,343,21
"M0256","Nordeste",1,42769,-4850,47619,0,9,11.4,0.308,10,22.6,6.4,28.3,3.8,438,44
"M0257","Norte",0,35657,-11962,47619,0,9,9.6,0.474,10,21,4.3,20.3,4.7,533,28
"M0258","Sul",0,36371,-11248,47619,0,9,12.9,0.42,9,18,5.6,25.9,5.4,417,34
"M0259","Sudeste",0,58407,10788,47619,1,10,11.4,0.333,9,19.5,5.6,28.8,4.6,595,47
"M0260","Sul",0,20188,-27431,47619,0,9,9.8,0.444,10,18.1,5.4,24.4,4.3,504,42
"M0261","Centro-Oeste",0,29129,-18490,47619,0,9,11.4,0.265,9,17.6,8.6,23.8,4.2,491,29
"M0262","Norte",0,23414,-24205,47619,0,9,11.5,0.35,9,19.8,7.1,25.4,4.6,469,26
"M0263","Sudeste",0,50421,2802,47619,1,10,12.3,0.31,9,19,4.9,33.7,4.4,583,49
"M0264","Sudeste",0,59678,12059,47619,1,10,11.7,0.352,9,16.9,6.4,30.6,4.8,603,56
"M0265","Sudeste",0,34187,-13432,47619,0,9,7.1,0.293,10,18.3,5.7,24.5,4.1,369,41
"M0266","Sudeste",0,52032,4413,47619,1,10,11,0.324,9,19,7,21.2,4.3,671,58
"M0267","Sul",0,48306,687,47619,1,10,13.4,0.332,10,22.5,8.3,24.7,4.4,581,49
"M0268","Norte",0,30699,-16920,47619,0,9,11.7,0.451,9,24.3,5.9,23,5.2,378,38
"M0269","Nordeste",1,72501,24882,47619,1,10,13.7,0.335,9,16.9,6.7,30.8,4.7,592,53
"M0270","Norte",0,74345,26726,47619,1,10,14,0.271,9,14.8,5.8,25.6,5.2,584,51
"M0271","Sul",0,30979,-16640,47619,0,9,10.3,0.428,10,20.4,9.5,24.1,4.3,368,39
"M0272","Nordeste",1,24468,-23151,47619,0,9,8.3,0.355,9,20.4,8.3,22.6,4.6,469,41
"M0273","Sudeste",0,26321,-21298,47619,0,9,7.6,0.331,9,20.5,6.9,26.6,4.5,414,28
"M0274","Sul",0,23139,-24480,47619,0,9,8.9,0.35,9,18.8,7.6,17.9,4.1,482,36
"M0275","Nordeste",1,58570,10951,47619,1,10,12.5,0.34,10,17.8,6.7,25.7,4.3,569,48
"M0276","Sudeste",0,45574,-2045,47619,0,9,12.3,0.273,10,23.4,8,28.6,4.5,449,38
"M0277","Centro-Oeste",0,54531,6912,47619,1,10,13.8,0.389,9,15.7,6.7,24.8,3.9,558,38
"M0278","Norte",0,26535,-21084,47619,0,9,9,0.402,9,17.4,8.4,22,5,454,37
"M0279","Sudeste",0,41017,-6602,47619,0,9,12.9,0.341,9,16.3,7.4,25.8,4.6,488,35
"M0280","Nordeste",1,74346,26727,47619,1,10,12.7,0.332,10,19.9,6,28.6,4.1,705,50
"M0281","Sudeste",0,59019,11400,47619,1,10,12.6,0.257,9,16.6,6.2,27.2,4,633,54
"M0282","Norte",0,52329,4710,47619,1,10,14.1,0.329,10,17.7,5.6,24.6,4.2,600,42
"M0283","Nordeste",1,25846,-21773,47619,0,9,11.4,0.391,9,21.4,5.5,27.1,4.6,472,46
"M0284","Sudeste",0,51054,3435,47619,1,10,12.4,0.343,9,16.5,6.7,27.8,3.9,578,40
"M0285","Centro-Oeste",0,31709,-15910,47619,0,9,10.5,0.311,9,23.4,9,16.4,5,384,40
"M0286","Nordeste",1,40062,-7557,47619,0,9,15.1,0.307,9,20.4,6.4,23.3,4.5,473,44
"M0287","Norte",0,72765,25146,47619,1,10,12.8,0.356,9,12.3,5.4,27.5,5,641,57
"M0288","Sul",0,74261,26642,47619,1,10,14.4,0.25,9,13,5.9,24.5,5.1,669,40
"M0289","Nordeste",1,64342,16723,47619,1,10,16.3,0.254,9,15.7,6.9,29.8,4.7,597,51
"M0290","Norte",0,22111,-25508,47619,0,9,10.8,0.394,10,23.9,4.8,23.6,4.2,471,33
"M0291","Nordeste",1,62222,14603,47619,1,10,12.7,0.291,9,24.2,6.1,24.1,4.9,561,51
"M0292","Sudeste",0,67205,19586,47619,1,10,13,0.296,9,17.4,4,28.6,5.4,632,59
"M0293","Norte",0,72725,25106,47619,1,10,13.3,0.324,9,15.6,6.5,28.8,5,630,63
"M0294","Sudeste",0,60493,12874,47619,1,10,11.8,0.364,9,15.2,4.5,26,5.2,583,58
"M0295","Centro-Oeste",0,50527,2908,47619,1,10,12.5,0.425,9,17.6,7.3,25,4.1,600,29
"M0296","Centro-Oeste",0,41070,-6549,47619,0,9,12.5,0.294,9,19.2,7.3,24.7,4.6,474,36
"M0297","Nordeste",1,64463,16844,47619,1,10,10.8,0.255,9,15.3,3.7,26,5.7,579,38
"M0298","Nordeste",1,60617,12998,47619,1,10,10.5,0.278,9,18.4,6.2,25.5,4.4,637,59
"M0299","Sudeste",0,66926,19307,47619,1,10,14,0.31,9,17.6,4.5,26,3.7,558,56
"M0300","Sudeste",0,30388,-17231,47619,0,9,11.5,0.351,9,20.1,8.7,17.7,5.1,407,26
"M0301","Sudeste",0,27022,-20597,47619,0,9,11.3,0.413,9,22.5,9.4,19,3.8,411,25
"M0302","Sudeste",0,54698,7079,47619,1,10,13.9,0.365,9,15.2,4.6,27.9,5,578,52
"M0303","Sul",0,46542,-1077,47619,0,9,9.3,0.408,9,25.8,8.9,31.3,4.5,448,46
"M0304","Sudeste",0,58627,11008,47619,1,10,13.7,0.3,9,18.1,4.7,25.8,4.9,639,46
"M0305","Sudeste",0,74541,26922,47619,1,10,14.5,0.219,9,17.1,7.9,21.6,4,606,52
"M0306","Sudeste",0,25052,-22567,47619,0,9,11.4,0.365,9,16.4,5.1,20.8,3.7,469,37
"M0307","Norte",0,69133,21514,47619,1,10,15.1,0.329,9,15,5.1,30.7,5.3,637,45
"M0308","Nordeste",1,53067,5448,47619,1,10,13.9,0.311,9,12.5,5.7,18.5,4.4,636,44
"M0309","Sudeste",0,32181,-15438,47619,0,9,11.2,0.397,9,17.2,4.1,23.8,3.6,444,36
"M0310","Sudeste",0,66059,18440,47619,1,10,10.9,0.36,10,17.4,6,26.8,5.5,597,59
"M0311","Nordeste",1,20087,-27532,47619,0,9,12.7,0.349,9,26.9,7.4,26.6,3.7,471,28
"M0312","Sudeste",0,35018,-12601,47619,0,9,8.4,0.344,9,20.3,8.7,24.3,4.6,503,38
"M0313","Sudeste",0,54596,6977,47619,1,10,14.7,0.351,9,18.3,5.6,26.9,4.6,650,38
"M0314","Norte",0,39408,-8211,47619,0,9,9.9,0.454,9,19.4,5.7,22,3.8,439,46
"M0315","Sudeste",0,40894,-6725,47619,0,9,9.7,0.288,9,18.9,7.6,28,3.9,498,28
"M0316","Norte",0,23406,-24213,47619,0,9,6.6,0.44,9,22.7,11.1,21.8,5.2,453,30
"M0317","Sudeste",0,33094,-14525,47619,0,9,11.2,0.308,9,16.6,6.9,17.3,4.2,543,33
"M0318","Sudeste",0,74596,26977,47619,1,10,14.5,0.226,9,15.8,6.9,26,4.1,588,56
"M0319","Sudeste",0,53822,6203,47619,1,10,15.6,0.338,9,17,8.8,32.5,5.5,638,39
"M0320","Nordeste",1,22637,-24982,47619,0,9,9.5,0.345,9,26.2,7.3,25.4,3.3,535,34
"M0321","Centro-Oeste",0,72744,25125,47619,1,10,14.5,0.28,9,18.3,5.9,27.9,6,551,56
"M0322","Norte",0,55520,7901,47619,1,10,13.2,0.383,9,16,5.4,28.7,4.8,623,44
"M0323","Centro-Oeste",0,47444,-175,47619,0,9,9.2,0.279,10,18.8,7.9,23.3,5.3,461,46
"M0324","Nordeste",1,70339,22720,47619,1,10,12.7,0.297,9,15.6,5.2,27.5,5.6,587,60
"M0325","Sudeste",0,47402,-217,47619,0,9,10.1,0.41,9,20,6.1,19.3,3.7,463,34
"M0326","Sudeste",0,41728,-5891,47619,0,9,10.5,0.359,9,14,6.6,25.8,3.8,459,48
"M0327","Sudeste",0,71747,24128,47619,1,10,15.1,0.222,9,16.4,5.3,26.7,3.5,548,59
"M0328","Sul",0,72920,25301,47619,1,10,13.1,0.375,9,14.8,7.1,24.1,5.3,623,52
"M0329","Nordeste",1,39348,-8271,47619,0,9,10.4,0.424,9,19.5,9.1,20.8,4.2,477,38
"M0330","Sudeste",0,30504,-17115,47619,0,9,13.8,0.453,9,22.5,8.2,17.6,3.3,454,39
"M0331","Sudeste",0,34487,-13132,47619,0,9,9.3,0.419,9,24.6,5.3,23.3,4.5,439,37
"M0332","Nordeste",1,73778,26159,47619,1,10,9.3,0.343,9,18.4,4.8,27.1,5.4,587,49
"M0333","Nordeste",1,50497,2878,47619,1,10,13.8,0.304,9,16.1,5.5,27.4,4.4,537,47
"M0334","Norte",0,59714,12095,47619,1,10,12.4,0.277,9,20.4,6.5,31.7,5.1,665,50
"M0335","Sudeste",0,22323,-25296,47619,0,9,8.8,0.47,9,21.9,6.7,25.4,4.6,395,37
"M0336","Sudeste",0,49570,1951,47619,1,10,10.8,0.272,9,19.4,6.1,32.3,4.4,555,61
"M0337","Centro-Oeste",0,68912,21293,47619,1,10,14.6,0.261,9,12.4,3.6,31,4.9,570,55
"M0338","Nordeste",1,69667,22048,47619,1,10,14,0.261,9,21.6,9.2,29.4,4.4,658,45
"M0339","Sul",0,74228,26609,47619,1,10,16.6,0.362,9,13.9,5.9,26.8,4.1,562,51
"M0340","Nordeste",1,70113,22494,47619,1,10,14.6,0.308,9,11.2,7.5,26.8,6,577,44
"M0341","Norte",0,39593,-8026,47619,0,9,13.3,0.355,9,19.9,9.1,27.4,4.6,427,27
"M0342","Centro-Oeste",0,53168,5549,47619,1,10,16.8,0.28,9,18.8,5.9,28.5,3.5,517,34
"M0343","Centro-Oeste",0,65251,17632,47619,1,10,16.6,0.384,9,17.5,5.7,25.9,4,616,57
"M0344","Nordeste",1,70663,23044,47619,1,10,12.9,0.29,9,18.2,5.3,31.5,3.9,526,57
"M0345","Sudeste",0,37174,-10445,47619,0,9,7.1,0.416,10,20,8.5,26.2,4.2,412,38
"M0346","Sudeste",0,41740,-5879,47619,0,9,10.2,0.351,9,16.4,9,23.3,3.7,431,32
"M0347","Sul",0,52022,4403,47619,1,10,17.2,0.321,9,16.8,5.8,25.2,4.6,608,31
"M0348","Nordeste",1,41001,-6618,47619,0,9,11.6,0.38,9,20.4,6.1,23.2,3.7,513,23
"M0349","Sul",0,56010,8391,47619,1,10,14.7,0.265,9,18,6.3,29.9,5.1,597,59
"M0350","Sudeste",0,49389,1770,47619,1,10,8.7,0.383,9,18.2,5.7,24.7,4.3,543,50
"M0351","Centro-Oeste",0,68189,20570,47619,1,10,11.1,0.32,10,19.6,7.1,26.5,4.1,566,60
"M0352","Nordeste",1,49093,1474,47619,1,10,12.6,0.384,9,18.2,3.8,24.7,4.7,616,42
"M0353","Sudeste",0,69110,21491,47619,1,10,12.3,0.291,9,16.9,5.3,26.5,4.4,667,44
"M0354","Nordeste",1,62625,15006,47619,1,10,13.1,0.274,9,16.4,4.3,30.3,4.6,640,48
"M0355","Sul",0,51124,3505,47619,1,10,9.6,0.338,9,15.4,5.4,24.2,4.2,534,41
"M0356","Sudeste",0,32273,-15346,47619,0,9,11.2,0.457,9,15.2,8,23.4,4.4,471,37
"M0357","Sul",0,61952,14333,47619,1,10,14.2,0.274,9,15.2,5.6,30.4,4.3,597,62
"M0358","Centro-Oeste",0,65348,17729,47619,1,10,16.9,0.365,9,16.2,5.5,25.7,3.8,606,41
"M0359","Nordeste",1,39391,-8228,47619,0,9,8.8,0.358,9,22.1,8.6,25.8,4.1,532,25
"M0360","Nordeste",1,58576,10957,47619,1,10,10.1,0.27,9,19.4,4.3,26.8,5.2,615,49
"M0361","Centro-Oeste",0,61614,13995,47619,1,10,13.4,0.263,9,16.5,8,26.9,4.4,646,49
"M0362","Nordeste",1,23803,-23816,47619,0,9,9.1,0.345,9,21.7,9.2,27.2,4.5,411,40
"M0363","Norte",0,53027,5408,47619,1,10,13.8,0.32,10,19,5.7,24.1,5,614,44
"M0364","Sudeste",0,57449,9830,47619,1,10,12.4,0.309,9,19.2,5.6,24.9,4.4,606,57
"M0365","Sudeste",0,61172,13553,47619,1,10,12.3,0.297,9,17.7,4.3,22,4.7,721,55
"M0366","Sul",0,64901,17282,47619,1,10,17.7,0.244,9,15.7,8.1,23.3,3.9,632,49
"M0367","Sudeste",0,33919,-13700,47619,0,9,6.7,0.361,9,27.1,6.1,23.2,4.4,527,36
"M0368","Sudeste",0,51862,4243,47619,1,10,9.9,0.395,9,17.4,5.8,29.4,4.9,560,47
"M0369","Centro-Oeste",0,39456,-8163,47619,0,9,11.7,0.352,9,20.4,6.1,23.5,3.9,431,36
"M0370","Sudeste",0,57871,10252,47619,1,10,10.9,0.396,9,21.5,2.6,28.4,4.4,605,50
"M0371","Sul",0,62573,14954,47619,1,10,14.1,0.352,10,17.8,6.4,21.9,5.5,570,39
"M0372","Nordeste",1,70180,22561,47619,1,10,15.6,0.247,9,16.4,6.7,28.5,4.1,561,49
"M0373","Nordeste",1,66228,18609,47619,1,10,13.8,0.272,10,17.6,8.3,28.7,4.9,570,47
"M0374","Centro-Oeste",0,21411,-26208,47619,0,9,12.9,0.475,9,20.1,6.1,25.2,5,370,24
"M0375","Norte",0,39762,-7857,47619,0,9,12.1,0.318,9,24.7,9.6,18,3.7,484,25
"M0376","Centro-Oeste",0,55129,7510,47619,1,10,11,0.35,9,17.5,8.1,22.1,4.9,570,49
"M0377","Sudeste",0,33828,-13791,47619,0,9,6.5,0.34,9,21.3,7.3,26,4,479,28
"M0378","Sudeste",0,22838,-24781,47619,0,9,12,0.363,9,24.3,7.8,21.7,4.2,399,33
"M0379","Sudeste",0,57612,9993,47619,1,10,13.2,0.255,10,16.5,9,26.8,4.5,648,55
"M0380","Sul",0,28201,-19418,47619,0,9,13,0.367,10,23.5,8,22.3,4.3,402,37
"M0381","Sul",0,35292,-12327,47619,0,9,10.3,0.397,9,20.8,8.2,20.3,5.1,501,34
"M0382","Sul",0,37021,-10598,47619,0,9,15.1,0.342,9,22.1,8.9,25.5,3.7,483,26
"M0383","Sudeste",0,28137,-19482,47619,0,9,12.6,0.454,10,22.4,7.5,23.7,4.7,423,31
"M0384","Nordeste",1,58149,10530,47619,1,10,6.8,0.281,9,16.7,5.3,24.8,4.2,574,53
"M0385","Sul",0,59087,11468,47619,1,10,14,0.345,10,16,5.1,33.7,4.2,551,55
"M0386","Centro-Oeste",0,43166,-4453,47619,0,9,8.8,0.384,9,20.6,9.1,27.3,4,486,33
"M0387","Centro-Oeste",0,67117,19498,47619,1,10,14.4,0.269,9,14.2,5.1,31.3,4.8,518,36
"M0388","Nordeste",1,54780,7161,47619,1,10,13,0.358,9,17.1,5.2,19,4.9,590,48
"M0389","Norte",0,69559,21940,47619,1,10,12,0.312,9,23.7,5.3,27.6,4.6,591,50
"M0390","Norte",0,40806,-6813,47619,0,9,9.4,0.307,9,23.3,7.2,19.7,4.1,511,36
"M0391","Sudeste",0,59612,11993,47619,1,10,13.5,0.321,9,21.3,8.5,27.1,4.4,588,55
"M0392","Nordeste",1,29650,-17969,47619,0,9,11,0.354,9,20.7,4.8,19.6,5,465,37
"M0393","Sudeste",0,69330,21711,47619,1,10,15.4,0.293,10,14.7,7,30.7,4.4,616,60
"M0394","Norte",0,27130,-20489,47619,0,9,8.7,0.359,9,20.1,6.7,22.8,3.9,521,30
"M0395","Nordeste",1,57805,10186,47619,1,10,11.5,0.395,10,20.9,5.2,31,4,554,56
"M0396","Norte",0,67677,20058,47619,1,10,16,0.307,10,18.2,3.8,26.7,4.5,547,46
"M0397","Nordeste",1,74405,26786,47619,1,10,13.6,0.234,9,18.5,4.5,27.1,4.8,603,57
"M0398","Sul",0,69217,21598,47619,1,10,13.8,0.272,9,18.3,5.1,24.1,5.1,613,51
"M0399","Sudeste",0,21920,-25699,47619,0,9,12,0.385,9,24.6,5.5,18.8,4.2,432,23
"M0400","Nordeste",1,61856,14237,47619,1,10,12,0.215,9,18.4,7.2,26.6,4.5,629,52
"M0401","Nordeste",1,47548,-71,47619,0,9,11.5,0.413,9,19.1,6.7,21.1,3.6,435,40
"M0402","Nordeste",1,68730,21111,47619,1,10,14.8,0.339,9,16.7,4.9,27.5,4.3,545,64
"M0403","Sul",0,57550,9931,47619,1,10,10.7,0.356,9,16.5,8.2,18.5,4.4,592,41
"M0404","Nordeste",1,74398,26779,47619,1,10,13.7,0.298,10,14.9,6.1,27.5,4.9,592,55
"M0405","Nordeste",1,32010,-15609,47619,0,9,9,0.312,10,23.2,7.1,23.9,4.8,479,37
"M0406","Sudeste",0,23055,-24564,47619,0,9,12.3,0.396,9,20.5,6.1,22.2,3.5,503,19
"M0407","Sul",0,51975,4356,47619,1,10,12.8,0.336,9,17.4,4.5,26.5,4.1,628,45
"M0408","Nordeste",1,51136,3517,47619,1,10,12.4,0.282,9,19.1,5.4,22.8,5,572,35
"M0409","Nordeste",1,66571,18952,47619,1,10,12.5,0.362,9,15.9,5.8,24.7,4.7,579,52
"M0410","Sudeste",0,61650,14031,47619,1,10,15.9,0.248,9,14.3,4,27.2,5,580,54
"M0411","Sudeste",0,28593,-19026,47619,0,9,11.4,0.37,9,19.6,7.7,25.9,3.9,426,32
"M0412","Centro-Oeste",0,42414,-5205,47619,0,9,12.2,0.357,10,21.8,3.8,26.3,3.4,453,48
"M0413","Nordeste",1,32433,-15186,47619,0,9,13.1,0.357,9,22.3,6.9,22.3,4.7,446,21
"M0414","Norte",0,46147,-1472,47619,0,9,13.1,0.316,9,21.3,6.6,23.1,4.6,396,53
"M0415","Sudeste",0,50653,3034,47619,1,10,13.8,0.319,10,17.5,4.9,32.2,3.5,581,49
"M0416","Centro-Oeste",0,64246,16627,47619,1,10,14.5,0.296,9,21.1,5.9,25.5,4.9,604,38
"M0417","Centro-Oeste",0,64590,16971,47619,1,10,15.3,0.317,9,16.1,6.4,27.5,4.7,627,59
"M0418","Centro-Oeste",0,42051,-5568,47619,0,9,10,0.408,9,17.7,7.1,16.5,4.3,467,39
"M0419","Centro-Oeste",0,56679,9060,47619,1,10,13.3,0.29,9,10.8,8.7,35,4.5,599,47
"M0420","Nordeste",1,23918,-23701,47619,0,9,8.5,0.344,9,20.8,7.3,30.8,4,379,24
"M0421","Centro-Oeste",0,33464,-14155,47619,0,9,9.4,0.372,10,20.8,7.7,24.7,3.8,547,36
"M0422","Sul",0,74602,26983,47619,1,10,14.7,0.28,9,15.9,5.7,23.9,5.2,730,53
"M0423","Sul",0,59162,11543,47619,1,10,12.3,0.376,9,17.1,5.8,20.7,4.3,592,52
"M0424","Centro-Oeste",0,65079,17460,47619,1,10,13.1,0.371,9,17.6,4.8,31.8,5.2,600,52
"M0425","Nordeste",1,35755,-11864,47619,0,9,11.5,0.369,9,16.9,9.1,20.8,4.3,422,20
"M0426","Sul",0,74245,26626,47619,1,10,14.2,0.285,10,15.6,7.5,34.5,4.8,606,47
"M0427","Sudeste",0,20168,-27451,47619,0,9,9.7,0.346,9,18.5,7.4,27.2,5.2,481,22
"M0428","Sul",0,37401,-10218,47619,0,9,12.2,0.343,9,14.8,5,23.9,3.9,500,46
"M0429","Norte",0,60688,13069,47619,1,10,14.7,0.326,9,22.3,6.2,25.4,4.1,606,53
"M0430","Centro-Oeste",0,74167,26548,47619,1,10,14.3,0.232,9,16.1,4.8,27.3,4.4,635,57
"M0431","Centro-Oeste",0,56033,8414,47619,1,10,11.4,0.279,9,9.2,8.4,29.8,4.4,668,53
"M0432","Sudeste",0,33355,-14264,47619,0,9,11.7,0.338,10,19.9,9.7,24.7,5.1,548,52
"M0433","Sul",0,61670,14051,47619,1,10,15.1,0.324,10,14.9,5.8,27.9,5.1,584,61
"M0434","Sudeste",0,54410,6791,47619,1,10,13.3,0.233,9,13.6,6.4,30.8,4.5,604,55
"M0435","Sudeste",0,58463,10844,47619,1,10,10.4,0.294,9,20.1,3.3,29.1,4.1,680,48
"M0436","Nordeste",1,70417,22798,47619,1,10,14.8,0.276,9,19.5,5.9,29.2,5,552,45
"M0437","Nordeste",1,35148,-12471,47619,0,9,13.2,0.306,9,23.8,7.6,27.7,4,481,49
"M0438","Sul",0,70316,22697,47619,1,10,18.2,0.319,9,20.9,5.7,29.5,4.8,651,35
"M0439","Nordeste",1,67291,19672,47619,1,10,9.2,0.33,10,18.3,5.7,30.2,4.7,563,49
"M0440","Sudeste",0,49875,2256,47619,1,10,9.1,0.384,9,21.7,6.1,23,3.7,509,47
"M0441","Norte",0,34145,-13474,47619,0,9,10.2,0.412,9,18.7,8.3,22.8,4.5,485,29
"M0442","Centro-Oeste",0,46147,-1472,47619,0,9,15.3,0.41,9,23.4,6.7,28.8,4.8,567,21
"M0443","Centro-Oeste",0,71293,23674,47619,1,10,15.3,0.331,9,14,6.7,25.4,3.9,633,45
"M0444","Nordeste",1,33501,-14118,47619,0,9,10.3,0.477,9,20.2,5.3,26.7,5.2,417,25
"M0445","Nordeste",1,50440,2821,47619,1,10,9.6,0.344,9,22.5,6.2,32.4,4,662,36
"M0446","Centro-Oeste",0,68426,20807,47619,1,10,10.8,0.268,9,16.8,5.2,27.8,4.5,603,46
"M0447","Sudeste",0,45888,-1731,47619,0,9,7.4,0.383,9,17.6,8.5,21.1,4.3,516,35
"M0448","Centro-Oeste",0,45860,-1759,47619,0,9,10.7,0.274,9,15.8,6.6,22.6,5,545,51
"M0449","Sudeste",0,48076,457,47619,1,10,12.5,0.298,9,18.7,5.7,28.1,4.1,563,41
"M0450","Nordeste",1,27404,-20215,47619,0,9,11.7,0.423,9,16.7,7.6,27.1,4.9,499,38
"M0451","Norte",0,52701,5082,47619,1,10,10.5,0.219,9,16.2,5.7,28,4.8,499,45
"M0452","Nordeste",1,62065,14446,47619,1,10,14.4,0.261,9,10.6,5.5,23.7,4.3,530,45
"M0453","Sudeste",0,45645,-1974,47619,0,9,12.2,0.365,9,15.6,7.1,21.5,4.2,445,44
"M0454","Centro-Oeste",0,35193,-12426,47619,0,9,9.8,0.384,10,22.2,6.2,29.7,4.5,473,40
"M0455","Centro-Oeste",0,57229,9610,47619,1,10,18.8,0.344,10,15.3,7.2,26.9,4.3,545,48
"M0456","Sudeste",0,43125,-4494,47619,0,9,13.5,0.412,9,22.7,7.8,26.4,4.7,503,35
"M0457","Sudeste",0,41946,-5673,47619,0,9,10.1,0.31,9,21.4,8.6,23,4.9,530,34
"M0458","Sul",0,58884,11265,47619,1,10,13.4,0.252,10,16.8,5.4,30.9,4,665,54
"M0459","Centro-Oeste",0,60207,12588,47619,1,10,15.2,0.417,9,18.9,6,26.3,4.3,601,45
"M0460","Sudeste",0,64110,16491,47619,1,10,13.2,0.267,9,16.6,6.7,33.2,4.7,590,55
"M0461","Centro-Oeste",0,70107,22488,47619,1,10,10.8,0.315,9,13.7,3.4,27.3,5.6,545,47
"M0462","Nordeste",1,34761,-12858,47619,0,9,10.1,0.4,9,21.4,7.5,20.6,3.7,479,20
"M0463","Sudeste",0,61273,13654,47619,1,10,11,0.401,9,19,3.9,26.4,4.9,569,45
"M0464","Nordeste",1,40510,-7109,47619,0,9,10.8,0.343,9,22.2,8.1,22.1,5,375,44
"M0465","Sudeste",0,42718,-4901,47619,0,9,13.8,0.288,9,18,6.2,19.2,4,474,48
"M0466","Sudeste",0,38848,-8771,47619,0,9,12.1,0.272,9,19.6,6.9,26.3,4.3,481,35
"M0467","Sudeste",0,39505,-8114,47619,0,9,10.3,0.366,10,18.2,5.9,25.7,4.1,390,51
"M0468","Centro-Oeste",0,54415,6796,47619,1,10,12.4,0.369,9,17.5,8.2,31.5,4.6,601,32
"M0469","Sudeste",0,46798,-821,47619,0,9,13.4,0.372,9,21.5,6.7,24.4,3.4,479,46
"M0470","Sudeste",0,21070,-26549,47619,0,9,7.1,0.429,10,20.9,9.5,23,3.3,453,39
"M0471","Nordeste",1,49413,1794,47619,1,10,13.3,0.388,9,20.6,6.2,31.4,5.6,529,50
"M0472","Sudeste",0,23613,-24006,47619,0,9,9.6,0.333,9,21.5,7.5,26.1,4.5,484,37
"M0473","Sudeste",0,46106,-1513,47619,0,9,13.9,0.237,9,17.9,6.9,24.1,4.5,555,28
"M0474","Sul",0,34005,-13614,47619,0,9,14.2,0.428,9,21.4,10,24.8,4.1,365,28
"M0475","Nordeste",1,36668,-10951,47619,0,9,10.7,0.317,9,21.1,6.8,26.2,4.9,443,42
"M0476","Sudeste",0,32932,-14687,47619,0,9,11.5,0.466,9,17.1,7.7,24.9,4.7,510,34
"M0477","Nordeste",1,49211,1592,47619,1,10,11.6,0.357,9,23.2,7.7,28.5,4.6,542,43
"M0478","Sul",0,59702,12083,47619,1,10,12,0.391,9,16.2,4.2,28.1,4.6,660,53
"M0479","Nordeste",1,29881,-17738,47619,0,9,8.9,0.38,9,18.5,6.5,23.7,4.6,426,33
"M0480","Centro-Oeste",0,65681,18062,47619,1,10,11.9,0.251,9,19.2,5.1,32.6,5.3,628,38
"M0481","Norte",0,52234,4615,47619,1,10,14.1,0.346,9,17.5,7.3,23.2,4.8,568,61
"M0482","Nordeste",1,62994,15375,47619,1,10,13.4,0.301,9,17.9,7.6,24.9,4.9,667,51
"M0483","Centro-Oeste",0,67438,19819,47619,1,10,16.1,0.253,9,23.5,6,26.6,5,661,49
"M0484","Sudeste",0,40624,-6995,47619,0,9,10.8,0.41,9,16.1,7.9,22.3,4.3,393,41
"M0485","Sul",0,70263,22644,47619,1,10,13.4,0.227,9,19.8,4.9,27.3,4.7,609,51
"M0486","Centro-Oeste",0,26916,-20703,47619,0,9,12.4,0.434,10,21.5,9.8,28,4.2,441,26
"M0487","Sul",0,67940,20321,47619,1,10,13.9,0.279,9,14.9,5.5,29.7,4.2,631,36
"M0488","Sul",0,46557,-1062,47619,0,9,13.5,0.346,9,20.4,3.1,27.4,3.9,531,49
"M0489","Nordeste",1,29974,-17645,47619,0,9,12.2,0.354,9,21.4,5.9,18.1,4.4,442,31
"M0490","Nordeste",1,43803,-3816,47619,0,9,11.6,0.301,9,16.6,7.8,23,3.8,408,38
"M0491","Sudeste",0,73390,25771,47619,1,10,13.3,0.253,9,19.2,5.9,30.5,4.6,688,59
"M0492","Centro-Oeste",0,70354,22735,47619,1,10,15.8,0.338,9,17.3,7,26.3,4.6,648,44
"M0493","Nordeste",1,35738,-11881,47619,0,9,12.5,0.354,9,16.4,6.5,24.7,5,401,47
"M0494","Nordeste",1,63669,16050,47619,1,10,12.3,0.338,9,17.7,4.4,30.1,4.6,610,55
"M0495","Nordeste",1,53095,5476,47619,1,10,13.5,0.362,10,18.9,7.1,24.8,4.9,659,51
"M0496","Nordeste",1,67379,19760,47619,1,10,13.1,0.264,9,16,5,24.6,5,645,58
"M0497","Sudeste",0,27202,-20417,47619,0,9,9.4,0.38,9,23.4,7,25.1,4.9,458,32
"M0498","Sudeste",0,67058,19439,47619,1,10,17.6,0.258,9,17.6,5.9,25.7,4.9,625,56
"M0499","Centro-Oeste",0,50847,3228,47619,1,10,14.4,0.395,9,16.9,6.5,26.5,4.1,578,36
